id,uses81,distance,time,fuelUsed,latFrom,lngFrom,latTo,lngTo
"9054e19d-9c07-49d1-bd5a-be7b97438d84","0",11.109,1068,0.6,43.048562,-76.258364,43.023204,-76.13896"
"9054e19d-9c07-49d1-bd5a-be7b97438d84","1",11.945,984,0.6,43.048562,-76.258364,43.023204,-76.13896"
"e7579b98-e098-4f68-9087-c57f02961e59","0",18.208,1466,0.87,42.817192,-76.070136,43.0524,-76.154722"
"e7579b98-e098-4f68-9087-c57f02961e59","1",19.38,1394,0.9,42.817192,-76.070136,43.0524,-76.154722"
"e7579b98-e098-4f68-9087-c57f02961e59","0",1481.646,82622,68.3,36.435132,-99.378631,43.0524,-76.154722"
"e7579b98-e098-4f68-9087-c57f02961e59","1",1481.646,82622,68.3,36.435132,-99.378631,43.0524,-76.154722"
"e7579b98-e098-4f68-9087-c57f02961e59","1",6.576,676,0.34,43.03212,-76.070048,43.0524,-76.154722"
"e7579b98-e098-4f68-9087-c57f02961e59","0",6.576,676,0.34,43.03212,-76.070048,43.0524,-76.154722"
"3e9f8b9a-ae80-4a7c-aa48-79e7cacbcc2a","0",39.84,2822,1.96,43.122071,-76.221539,42.601213,-76.180483"
"3e9f8b9a-ae80-4a7c-aa48-79e7cacbcc2a","1",39.997,2596,1.92,43.122071,-76.221539,42.601213,-76.180483"
"3e9f8b9a-ae80-4a7c-aa48-79e7cacbcc2a","0",7.083,775,0.36,43.122071,-76.221539,43.055455,-76.142163"
"3e9f8b9a-ae80-4a7c-aa48-79e7cacbcc2a","1",7.083,775,0.36,43.122071,-76.221539,43.055455,-76.142163"
"4509d8a0-23fc-4720-9ce8-976046f9716e","0",5.165,486,0.28,43.070965,-76.170334,43.068973,-76.103683"
"4509d8a0-23fc-4720-9ce8-976046f9716e","1",5.165,486,0.28,43.070965,-76.170334,43.068973,-76.103683"
"ef45be3c-f461-413e-aa51-340299394dde","1",263.796,16035,12.41,43.044724,-76.180596,40.039401,-76.307078"
"ef45be3c-f461-413e-aa51-340299394dde","0",262.716,16152,12.38,43.044724,-76.180596,40.039401,-76.307078"
"09c5fb07-3223-42da-b64b-3838a2a6f94b","0",10.384,945,0.55,43.11341,-76.12536,43.030777,-76.121219"
"09c5fb07-3223-42da-b64b-3838a2a6f94b","1",10.384,945,0.55,43.11341,-76.12536,43.030777,-76.121219"
"09c5fb07-3223-42da-b64b-3838a2a6f94b","1",10.846,1019,0.57,43.112652,-76.113845,43.030777,-76.121219"
"09c5fb07-3223-42da-b64b-3838a2a6f94b","0",10.846,1019,0.57,43.112652,-76.113845,43.030777,-76.121219"
"cb9a7881-7756-4271-bd26-a5fec212316f","0",7.054,984,0.42,43.032486,-76.121213,43.095116,-76.152752"
"cb9a7881-7756-4271-bd26-a5fec212316f","1",7.755,972,0.42,43.032486,-76.121213,43.095116,-76.152752"
"cb9a7881-7756-4271-bd26-a5fec212316f","0",364.13,20440,17.24,43.032486,-76.121213,43.08758,-70.796397"
"cb9a7881-7756-4271-bd26-a5fec212316f","1",364.13,20440,17.24,43.032486,-76.121213,43.08758,-70.796397"
"cb9a7881-7756-4271-bd26-a5fec212316f","0",54.219,4056,2.54,43.032486,-76.121213,42.422372,-76.461572"
"cb9a7881-7756-4271-bd26-a5fec212316f","1",54.219,4056,2.54,43.032486,-76.121213,42.422372,-76.461572"
"cb9a7881-7756-4271-bd26-a5fec212316f","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"cb9a7881-7756-4271-bd26-a5fec212316f","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"6ba2ee11-50d8-4c0e-9520-96314a784beb","1",10.448,872,0.55,42.991901,-76.071899,43.076281,-76.169395"
"6ba2ee11-50d8-4c0e-9520-96314a784beb","0",12.255,954,0.61,42.991901,-76.071899,43.076281,-76.169395"
"6ba2ee11-50d8-4c0e-9520-96314a784beb","1",21.333,1397,1.01,42.791162,-76.117143,43.076281,-76.169395"
"6ba2ee11-50d8-4c0e-9520-96314a784beb","0",21.269,1658,1.07,42.791162,-76.117143,43.076281,-76.169395"
"3ea62387-eeb6-476c-abe0-5fcf2d2979a2","0",2.716,391,0.16,43.019715,-76.128275,43.047036,-76.152339"
"3ea62387-eeb6-476c-abe0-5fcf2d2979a2","1",2.716,391,0.16,43.019715,-76.128275,43.047036,-76.152339"
"c7e398b6-59c9-4089-978e-e96376797544","1",20.357,1288,0.93,42.791162,-76.117143,43.0524,-76.154722"
"c7e398b6-59c9-4089-978e-e96376797544","0",19.185,1360,0.91,42.791162,-76.117143,43.0524,-76.154722"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",20.316,1557,0.95,42.903521,-76.044605,43.076564,-76.169305"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",19.215,1371,0.91,42.903521,-76.044605,43.076564,-76.169305"
"b9eac0d7-47aa-4e38-a517-6a5a220cca06","0",57.098,4432,2.91,42.438646,-76.498489,43.070965,-76.170334"
"b9eac0d7-47aa-4e38-a517-6a5a220cca06","1",57.387,4128,2.9,42.438646,-76.498489,43.070965,-76.170334"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",17.199,1290,0.79,42.929404,-76.029808,43.076564,-76.169305"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",15.392,1208,0.72,42.929404,-76.029808,43.076564,-76.169305"
"b9eac0d7-47aa-4e38-a517-6a5a220cca06","0",61.069,4787,2.72,42.524794,-75.523228,43.070965,-76.170334"
"b9eac0d7-47aa-4e38-a517-6a5a220cca06","1",61.069,4787,2.72,42.524794,-75.523228,43.070965,-76.170334"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",10.42,933,0.51,42.986595,-76.058666,43.076564,-76.169305"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",13.07,1019,0.65,42.986595,-76.058666,43.076564,-76.169305"
"fea1af64-20e4-4339-9b65-957727b6b8fd","0",14.397,1265,0.78,43.158652,-76.332664,43.037935,-76.13828"
"fea1af64-20e4-4339-9b65-957727b6b8fd","1",14.319,1137,0.75,43.158652,-76.332664,43.037935,-76.13828"
